hybrid reset particles  hybrid_init  v/=4:
McTwo/movement_libras.txt  21/90  0.7088627450980393   0.736111111111111  0.6972477064220184
McTwo/MUSK1.txt  44/166  0.8890547263681592   0.8803289473684209  0.8881118881118881
McTwo/Sonar.txt  21/60  0.9103448275862069   0.8512195121951219  0.8253968253968254
McTwo/isolet5.txt  68/617  0.8616061329646852   0.8729718031164977  0.8675213675213675
McTwo/LSVT.txt  38/310  0.9104575163398693   0.8495384615384616  0.868421052631579
McTwo/movement_libras.txt  26/90  0.7410196078431373   0.7277777777777779  0.5963302752293578
McTwo/MUSK1.txt  32/166  0.879828132066938   0.8508771929824561  0.8531468531468531
McTwo/Sonar.txt  21/60  0.8827586206896552   0.8271777003484321  0.8412698412698413
McTwo/isolet5.txt  104/617  0.8744459804784048   0.8665759749361035  0.8589743589743589
McTwo/LSVT.txt  25/310  0.9888888888888889   0.8809230769230769  0.7368421052631579
McTwo/movement_libras.txt  26/90  0.7491764705882353   0.7166666666666667  0.6972477064220184
McTwo/MUSK1.txt  32/166  0.9008141112618725   0.8844517543859649  0.8601398601398601
McTwo/Sonar.txt  14/60  0.9034482758620689   0.8560975609756097  0.7301587301587301
McTwo/isolet5.txt  101/617  0.8818021867538016   0.8768488745980708  0.8611111111111112
McTwo/LSVT.txt  45/310  0.9444444444444444   0.8729230769230769  0.7894736842105263
McTwo/movement_libras.txt  13/90  0.6969411764705882   0.7555555555555555  0.7431192660550459
McTwo/MUSK1.txt  48/166  0.8948891904115784   0.8782456140350877  0.8321678321678322
McTwo/Sonar.txt  16/60  0.9103448275862069   0.8076655052264808  0.7936507936507936
McTwo/isolet5.txt  103/617  0.8744250345607641   0.8646693874185836  0.8418803418803419
McTwo/LSVT.txt  50/310  0.9666666666666666   0.8252307692307692  0.7894736842105263
McTwo/movement_libras.txt  26/90  0.7691764705882352   0.7361111111111112  0.6513761467889908
McTwo/MUSK1.txt  32/166  0.8918136589778382   0.8864692982456142  0.8531468531468531
McTwo/Sonar.txt  17/60  0.8827586206896552   0.8314750290360046  0.7777777777777778
McTwo/isolet5.txt  117/617  0.8570189770013824   0.86527949542419  0.8333333333333334
McTwo/LSVT.txt  67/310  0.9313725490196078   0.8098461538461539  0.7368421052631579
McTwo/movement_libras.txt  22/90  0.6730980392156863   0.711111111111111  0.7339449541284404
McTwo/MUSK1.txt  34/166  0.8858887381275441   0.8634649122807018  0.8741258741258742
McTwo/Sonar.txt  19/60  0.9517241379310345   0.8797909407665505  0.8412698412698413
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/Urban.txt  24/147  0.8663829787234043   0.8429629629629629  0.8226600985221675
McTwo/Urban.txt  32/147  0.8517805151175812   0.8488888888888889  0.8571428571428571
McTwo/Urban.txt  50/147  0.8708398656215005   0.8518518518518519  0.8029556650246306
McTwo/Urban.txt  24/147  0.8559238521836507   0.8325925925925926  0.8768472906403941
McTwo/Urban.txt  19/147  0.8707054871220604   0.8622222222222222  0.812807881773399
McTwo/Urban.txt  28/147  0.8602687569988803   0.8266666666666668  0.812807881773399
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/Hill_Valley.txt  20/100  0.60963452836756   0.5849675203210556  0.5384615384615384
McTwo/Hill_Valley.txt  15/100  0.5920013922728855   0.5924293439444954  0.5879120879120879
McTwo/Hill_Valley.txt  16/100  0.6049356073790463   0.5750943781246811  0.5521978021978022
McTwo/Hill_Valley.txt  24/100  0.6273999303863558   0.5841682821480801  0.5714285714285714
McTwo/Hill_Valley.txt  14/100  0.6332544378698224   0.5849607182940516  0.6016483516483516
McTwo/Hill_Valley.txt  22/100  0.6108179603202227   0.5817535625616433  0.6016483516483516
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/LSVT.txt  33/310  0.9549019607843137   0.9203076923076923  0.8157894736842105
McTwo/LSVT.txt  18/310  0.918954248366013   0.8732307692307693  0.8157894736842105
McTwo/LSVT.txt  40/310  0.9424836601307189   0.9046153846153846  0.8157894736842105
McTwo/LSVT.txt  37/310  0.9320261437908496   0.8492307692307692  0.7894736842105263
McTwo/LSVT.txt  75/310  0.9209150326797386   0.8489230769230769  0.868421052631579
McTwo/LSVT.txt  50/310  0.9555555555555555   0.8806153846153846  0.8157894736842105
McTwo/LSVT.txt  19/310  0.9091503267973856   0.8492307692307692  0.7631578947368421
McTwo/LSVT.txt  50/310  0.9431372549019608   0.8803076923076922  0.7631578947368421
McTwo/LSVT.txt  58/310  0.9215686274509803   0.8729230769230769  0.8421052631578947
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/Multiple Features.txt  150/649  0.9864285714285714   0.9804999999999999  0.9783333333333334
McTwo/Multiple Features.txt  181/649  0.9857142857142858   0.9824999999999999  0.9666666666666667
McTwo/Multiple Features.txt  200/649  0.9864285714285714   0.9844999999999999  0.97
McTwo/Multiple Features.txt  141/649  0.9857142857142858   0.9804999999999999  0.97
McTwo/Multiple Features.txt  153/649  0.9828571428571429   0.9795  0.9816666666666667
McTwo/Multiple Features.txt  142/649  0.9835714285714285   0.9809999999999999  0.98
